title,creation_date,creation_date_earliest,creation_date_latest,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,classification,image_url,artist_id,party_type,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
The Bell Tower at Todaiji in Nara (Nara Tôdaiji Ôgane tô),October 1939,1939-01-01,1939-01-01,woodblock print on paper,89.28.713.29,cmoa:things/5dc8c4f1-ecc1-4a38-bbe9-e6b8356ffae4,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,12.563,9.625,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028761,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Acquired by Dr. Austin from C. H. Mitchell, Tokyo, Japan, 1970's.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=35807&size=Medium,cmoa:parties/0b66a413-a559-45c7-a0bb-0cd0d1f66832|cmoa:parties/c4e2a6a0-ad8e-4dbd-bd26-bb1c7ef7df5c,Person|Organization,Kotozuka Eiichi|Japan Woodblock Print Society (Nihon hanga kyokai),Kotozuka Eiichi|Japan Woodblock Print Society (Nihon hanga kyokai),publisher|,Japanese|Japanese,1906-01-01|1900-01-01,1982-01-01|,Osaka|,|
Lake Biwa (Bika ko),April 1939,1939-01-01,1939-01-01,woodblock print on paper,89.28.713.2,cmoa:things/8e5b5c1a-38ab-4290-a387-fbb48bf89245,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,12.875,9.875,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028762,"James B. Austin, Pittsburgh; bequest to museum, December 1989",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=37636&size=Medium,cmoa:parties/88302c84-f70e-4db0-a0aa-8bee9ad0aafd|cmoa:parties/c4e2a6a0-ad8e-4dbd-bd26-bb1c7ef7df5c,Person|Organization,Asada Benji|Japan Woodblock Print Society (Nihon hanga kyokai),Asada Benji|Japan Woodblock Print Society (Nihon hanga kyokai),publisher|,Japanese|Japanese,1899-01-01|1900-01-01,1984-01-01|,|,|
Shizaki Seashore (Shizaki kaigan),October 1939,1939-01-01,1939-01-01,woodblock print on paper,89.28.713.3,cmoa:things/b70ba76f-9027-489d-9fac-e13f96a24bf7,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,13.125,9.875,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028763,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Acquired by Dr. Austin from The Yoseido Gallery, Tokyo, Japan, 4/23/1971.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=37637&size=Medium,cmoa:parties/dd2c6c23-5eb9-40b6-a153-c75c0f6980e2|cmoa:parties/c4e2a6a0-ad8e-4dbd-bd26-bb1c7ef7df5c,Person|Organization,Ôiwa Chûichi|Japan Woodblock Print Society (Nihon hanga kyokai),Ôiwa Chûichi|Japan Woodblock Print Society (Nihon hanga kyokai),publisher|,Japanese|Japanese,1891-01-01|1900-01-01,|,Aichi prefecture|,|
"Kaibashima, Eboshiiwa",July 1940,1940-01-01,1940-01-01,woodblock print on paper,89.28.713.4,cmoa:things/d7d003f4-0bc1-49e0-9109-251f12798463,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,9.875,13.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028764,"Bequest of Dr. James B. Austin, Pittsburgh, PA
One print acquired by Dr. Austin from T.Z. Shiota Gallery, San Francisco, CA., 9/14/1967.
A second print acquired by Dr. Austin from The Yoseida Gallery, Tokyo, Japan, 4/24/1971.
A third print acquired by Dr. Austin from C. H. Mitchell, Tokyo, Japan, 1970's.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=37909&size=Medium,cmoa:parties/50568f7c-4ab4-4b7f-8d0e-3e3bf671e518|cmoa:parties/c4e2a6a0-ad8e-4dbd-bd26-bb1c7ef7df5c,Person|Organization,Funazaki Kôjirô|Japan Woodblock Print Society (Nihon hanga kyokai),Funazaki Kôjirô|Japan Woodblock Print Society (Nihon hanga kyokai),publisher|,Japanese|Japanese,1900-01-01|1900-01-01,|,Hyogo prefecture|,|
Kobe Harbor (Kôbekô),February 1940,1940-01-01,1940-01-01,woodblock print on paper,89.28.713.5,cmoa:things/a29829b7-8ca9-4226-a9ad-7e2dc30f9e4b,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,13.0,9.938,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028765,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Acquired by Dr. Austin from C. H. Mitchell, Tokyo, Japan, 1970's.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=35806&size=Medium,cmoa:parties/dc0c3b84-c076-46c8-a25f-1170d2cf84d4|cmoa:parties/c4e2a6a0-ad8e-4dbd-bd26-bb1c7ef7df5c,Person|Organization,Kawanishi Hide|Japan Woodblock Print Society (Nihon hanga kyokai),Kawanishi Hide|Japan Woodblock Print Society (Nihon hanga kyokai),publisher|,Japanese|Japanese,1894-01-01|1900-01-01,1965-01-01|,"Japan, Kobe|",|
Hyuga Aoshima (Hyûga Aoshima),April 1939,1939-01-01,1939-01-01,woodblock print on paper,89.28.713.6,cmoa:things/66365f88-51d4-4b09-9c25-ad1f811bdbb2,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,12.875,9.75,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028766,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Acquired by Dr. Austin from C. H. Mitchell, Tokyo, Japan, 1970's.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=37910&size=Medium,cmoa:parties/dc0c3b84-c076-46c8-a25f-1170d2cf84d4|cmoa:parties/c4e2a6a0-ad8e-4dbd-bd26-bb1c7ef7df5c,Person|Organization,Kawanishi Hide|Japan Woodblock Print Society (Nihon hanga kyokai),Kawanishi Hide|Japan Woodblock Print Society (Nihon hanga kyokai),publisher|,Japanese|Japanese,1894-01-01|1900-01-01,1965-01-01|,"Japan, Kobe|",|
Evening Moon at Chidori Castle (Chidori jo yûzuki),January 1939,1939-01-01,1939-01-01,woodblock print on paper,89.28.713.7,cmoa:things/08d768eb-c388-4b30-a9b5-df6548bfaf67,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028767,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Acquired by Dr. Austin from T.Z. Shiota, San Francisco, CA., 9/14/1967.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=34227&size=Medium,cmoa:parties/68f804dc-682d-4642-94a4-7e363866b7bc|cmoa:parties/c4e2a6a0-ad8e-4dbd-bd26-bb1c7ef7df5c,Person|Organization,Hiratsuka Un'ichi|Japan Woodblock Print Society (Nihon hanga kyokai),Hiratsuka Un'ichi|Japan Woodblock Print Society (Nihon hanga kyokai),artist|publisher,Japanese|Japanese,1895-01-01|1900-01-01,1997-01-01|,"Japan, Matsue|",|
"Korea, Heijo Botandai",April 1940,1940-01-01,1940-01-01,woodblock print on paper,89.28.713.8,cmoa:things/43c3ca2c-6403-4a80-8d68-b5389214f7a7,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,12.438,9.75,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028768,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Acquired by Dr. Austin from C. H. Mitchell, Tokyo, Japan, 1970's.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=34229&size=Medium,cmoa:parties/68f804dc-682d-4642-94a4-7e363866b7bc|cmoa:parties/c4e2a6a0-ad8e-4dbd-bd26-bb1c7ef7df5c,Person|Organization,Hiratsuka Un'ichi|Japan Woodblock Print Society (Nihon hanga kyokai),Hiratsuka Un'ichi|Japan Woodblock Print Society (Nihon hanga kyokai),artist|publisher,Japanese|Japanese,1895-01-01|1900-01-01,1997-01-01|,"Japan, Matsue|",|
Nagatoro,June 1941,1941-01-01,1941-01-01,woodblock print on paper,89.28.713.9,cmoa:things/f923ba1e-ec8e-4f1f-bb0f-7ed7a8cbc37d,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,13.0,9.875,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028769,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Acquired by Dr. Austin from C. H. Mitchell, Tokyo, Japan, 1970's.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=35805&size=Medium,cmoa:parties/19cdc552-a303-4235-ab64-97b620db4993|cmoa:parties/c4e2a6a0-ad8e-4dbd-bd26-bb1c7ef7df5c,Person|Organization,Inagaki Tomoo|Japan Woodblock Print Society (Nihon hanga kyokai),Inagaki Tomoo|Japan Woodblock Print Society (Nihon hanga kyokai),publisher|,Japanese|Japanese,1902-01-01|1900-01-01,1980-01-01|,|,|
Sakashita Gate,7/27/1931,1939-01-01,1939-01-01,woodblock print on paper,89.28.72.10,cmoa:things/371007bd-322e-49a9-9d5b-f29199021623,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028800,"James B. Austin, Pittsburgh; bequest to museum, December 1989",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=29467&size=Medium,cmoa:parties/26923d90-8215-4d3d-bbae-2de50fdad003|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,Printmaker|publisher,Japanese|Japanese,1896-01-01|,1947-01-01|,|,|
Meiji Baseball Stadium,12/4/1931,1931-12-04,1931-12-04,woodblock print on paper,89.28.72.11,cmoa:things/3094972c-05b7-49e2-83b2-6a65719e6ce2,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028801,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=26785&size=Medium,cmoa:parties/26923d90-8215-4d3d-bbae-2de50fdad003|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,artist|publisher,Japanese|Japanese,1896-01-01|,1947-01-01|,|,|
Kyobashi,4/3/1932,1932-04-03,1932-04-03,woodblock print on paper,89.28.72.12,cmoa:things/34f5a7d3-5e41-4f45-9192-955bebe9cefd,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028803,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=29465&size=Medium,cmoa:parties/26923d90-8215-4d3d-bbae-2de50fdad003|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,artist|publisher,Japanese|Japanese,1896-01-01|,1947-01-01|,|,|
Senju Ohashi,1929-1932,1929-01-01,1932-01-01,woodblock print on paper,89.28.72.13,cmoa:things/be44c10b-1c34-4c5e-82e6-f6de720f6a34,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,10.125,7.687,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028805,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=29464&size=Medium,cmoa:parties/26923d90-8215-4d3d-bbae-2de50fdad003|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,artist|publisher,Japanese|Japanese,1896-01-01|,1947-01-01|,|,|
Shiba Temple,4/28/1929,1929-04-28,1929-04-28,woodblock print on paper,89.28.72.1,cmoa:things/bd30568a-0f24-4f52-a7f7-d243721181b3,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028810,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=29473&size=Medium,cmoa:parties/26923d90-8215-4d3d-bbae-2de50fdad003|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,artist|publisher,Japanese|Japanese,1896-01-01|,1947-01-01|,|,|
Yanagi Bridge (Yanagibashi),7/20/1929,1929-07-20,1929-07-20,woodblock print on paper,89.28.72.2,cmoa:things/861aae21-9750-48ff-bd07-97397df14917,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028817,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=29472&size=Medium,cmoa:parties/26923d90-8215-4d3d-bbae-2de50fdad003|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,artist|publisher,Japanese|Japanese,1896-01-01|,1947-01-01|,|,|
Tsukiji,9/30/1929,1929-09-30,1929-09-30,woodblock print on paper,89.28.72.3,cmoa:things/fbca7b61-7d43-4197-951e-8500c5aa63d3,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028818,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=29430&size=Medium,cmoa:parties/26923d90-8215-4d3d-bbae-2de50fdad003|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,artist|publisher,Japanese|Japanese,1896-01-01|,1947-01-01|,|,|
Entrance to Hamacho Park,11/8/1929,1929-11-08,1929-11-08,woodblock print on paper,89.28.72.4,cmoa:things/e04db6cb-8c49-41a2-8952-52f6a20ff2ca,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028829,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=456&size=Medium,cmoa:parties/26923d90-8215-4d3d-bbae-2de50fdad003|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,artist|publisher,Japanese|Japanese,1896-01-01|,1947-01-01|,|,|
Kiyosu Bridge (Kiyosubashi),2/7/1930,1930-02-07,1930-02-07,woodblock print on paper,89.28.72.5,cmoa:things/a8e8ba30-039c-4413-bee8-4067d5ee3fbf,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,10.375,7.938,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028846,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=341&size=Medium,cmoa:parties/26923d90-8215-4d3d-bbae-2de50fdad003|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,artist|publisher,Japanese|Japanese,1896-01-01|,1947-01-01|,|,|
Kototoi Bridge (Kototoibashi),5/7/1930,1930-05-07,1930-05-07,woodblock print on paper,89.28.72.6,cmoa:things/20f1ef7b-58f6-47dc-9c3b-9fa1035f7785,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,10.375,8.125,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028850,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=248&size=Medium,cmoa:parties/26923d90-8215-4d3d-bbae-2de50fdad003|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,artist|publisher,Japanese|Japanese,1896-01-01|,1947-01-01|,|,|
Shin Arakawa,6/27/1930,1930-06-27,1930-06-27,woodblock print on paper,89.28.72.7,cmoa:things/1fb81cf0-16fa-4daf-b7bc-136f40bca276,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028852,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=226&size=Medium,cmoa:parties/26923d90-8215-4d3d-bbae-2de50fdad003|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,artist|publisher,Japanese|Japanese,1896-01-01|,1947-01-01|,|,|
Cafe District in Shinjuku,10/8/1930,1930-10-08,1930-10-08,woodblock print on paper,89.28.72.8,cmoa:things/05663d71-22f0-450b-8054-57cf6056bab6,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,19.25,19.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028854,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=245&size=Medium,cmoa:parties/26923d90-8215-4d3d-bbae-2de50fdad003|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,Printmaker|publisher,Japanese|Japanese,1896-01-01|,1947-01-01|,|,|
"Rising Sun Shell, Showa Street",6/29/1931,1931-06-29,1931-06-29,woodblock print on paper,89.28.72.9,cmoa:things/83a7562e-f002-437c-b2d3-94bbfce7a575,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,10.5,8.125,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028856,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=29468&size=Medium,cmoa:parties/26923d90-8215-4d3d-bbae-2de50fdad003|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,Fukazawa Sakuichi|Nakajima Jûtarô of Sôsaku-Hanga Club,Printmaker|publisher,Japanese|Japanese,1896-01-01|,1947-01-01|,|,|
Shibaura Drawbridge,10/31/1931,1931-10-31,1931-10-31,woodblock print on paper,89.28.732.10,cmoa:things/23b17de5-04e0-4372-9eb8-b8d537a1c0c7,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028860,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=29906&size=Medium,cmoa:parties/d058d98b-378a-4f71-a1da-4781c148078c|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Suwa Kanenori|Nakajima Jûtarô of Sôsaku-Hanga Club,Suwa Kanenori|Nakajima Jûtarô of Sôsaku-Hanga Club,Printmaker|publisher,Japanese|Japanese,1897-01-01|,1932-01-01|,|,|
Imperial Diet Building,2/5/1932,1932-02-05,1932-02-05,woodblock print on paper,89.28.732.11,cmoa:things/cfda5a1b-36fe-4180-8e05-e60f818e10a4,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,14.25,19.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028861,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=29924&size=Medium,cmoa:parties/d058d98b-378a-4f71-a1da-4781c148078c|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Suwa Kanenori|Nakajima Jûtarô of Sôsaku-Hanga Club,Suwa Kanenori|Nakajima Jûtarô of Sôsaku-Hanga Club,Printmaker|publisher,Japanese|Japanese,1897-01-01|,1932-01-01|,|,|
Marunouchi: Tokyo Station,c. 1929-1932,1924-01-01,1937-01-01,woodblock print on paper,89.28.732.12,cmoa:things/709ef776-82ef-4609-8b3e-3b3567482c1f,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028862,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=29925&size=Medium,cmoa:parties/d058d98b-378a-4f71-a1da-4781c148078c|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Suwa Kanenori|Nakajima Jûtarô of Sôsaku-Hanga Club,Suwa Kanenori|Nakajima Jûtarô of Sôsaku-Hanga Club,|,Japanese|Japanese,1897-01-01|,1932-01-01|,|,|
Shinbashi Theatre (Shinbashi enbujô),4/24/1929,1929-04-24,1929-04-24,woodblock print on paper,89.28.732.1,cmoa:things/4214eb27-78af-4963-bf7f-f5d99162a87e,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028863,"Bequest of Dr. James B. Austin, Pittsburgh, PA; Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=29489&size=Medium,cmoa:parties/d058d98b-378a-4f71-a1da-4781c148078c|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Suwa Kanenori|Nakajima Jûtarô of Sôsaku-Hanga Club,Suwa Kanenori|Nakajima Jûtarô of Sôsaku-Hanga Club,Printmaker|publisher,Japanese|Japanese,1897-01-01|,1932-01-01|,|,|
Hibiya,10/2/1929,1929-10-02,1929-10-02,woodblock print on paper,89.28.732.2,cmoa:things/7aec3704-db58-423d-82f2-2aba08bbc440,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028864,"Bequest of Dr. James B. Austin, Pittsburgh, PA; Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=29511&size=Medium,cmoa:parties/d058d98b-378a-4f71-a1da-4781c148078c|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Suwa Kanenori|Nakajima Jûtarô of Sôsaku-Hanga Club,Suwa Kanenori|Nakajima Jûtarô of Sôsaku-Hanga Club,Printmaker|publisher,Japanese|Japanese,1897-01-01|,1932-01-01|,|,|
Mukôjima,1929,1929-01-01,1929-01-01,woodblock print on paper,89.28.732.3,cmoa:things/075b584e-71e1-4c5e-b245-a221da75c7f2,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028865,"Bequest of Dr. James B. Austin, Pittsburgh, PA; Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=29626&size=Medium,cmoa:parties/d058d98b-378a-4f71-a1da-4781c148078c|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Suwa Kanenori|Nakajima Jûtarô of Sôsaku-Hanga Club,Suwa Kanenori|Nakajima Jûtarô of Sôsaku-Hanga Club,Printmaker|publisher,Japanese|Japanese,1897-01-01|,1932-01-01|,|,|
Mitsubishi in Marunouchi (Marunouchi Mitsubishi),12/5/1929,1929-12-05,1929-12-05,woodblock print on paper,89.28.732.4,cmoa:things/27539947-1cc7-4d28-a561-679b4dff7974,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,14.25,19.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1028866,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=29628&size=Medium,cmoa:parties/d058d98b-378a-4f71-a1da-4781c148078c|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Suwa Kanenori|Nakajima Jûtarô of Sôsaku-Hanga Club,Suwa Kanenori|Nakajima Jûtarô of Sôsaku-Hanga Club,Printmaker|publisher,Japanese|Japanese,1897-01-01|,1932-01-01|,|,|
